epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.9874992966651917,0.0010000000474974513,0.034606337547302246,0.9953588247299194,0.014262116514146328
1,0.9956414103507996,0.0010000000474974513,0.013828654773533344,0.9973193407058716,0.009297274053096771
2,0.9967891573905945,0.0010000000474974513,0.010838717222213745,0.997429370880127,0.00860444363206625
3,0.9973267912864685,0.0010000000474974513,0.00938571710139513,0.9974793791770935,0.008386580273509026
4,0.9976118803024292,0.0010000000474974513,0.008866352960467339,0.9980895519256592,0.0073949601501226425
5,0.9978394508361816,0.0010000000474974513,0.007987300865352154,0.9979394674301147,0.007427919656038284
6,0.9979544878005981,0.0010000000474974513,0.007825138047337532,0.9984496235847473,0.0062985727563500404
7,0.9981369972229004,0.0010000000474974513,0.007373359054327011,0.9983496069908142,0.006690869107842445
8,0.998274564743042,0.0010000000474974513,0.006951264571398497,0.9986096620559692,0.006140040699392557
9,0.9982470273971558,0.0010000000474974513,0.006833366584032774,0.9985396265983582,0.00572136789560318
10,0.9984170794487,0.0010000000474974513,0.00633495207875967,0.9987697005271912,0.005135985556989908
11,0.9984846115112305,0.0010000000474974513,0.006270831450819969,0.9987896680831909,0.004907278809696436
12,0.9985621571540833,0.0010000000474974513,0.00580155523493886,0.9987896680831909,0.004743383266031742
13,0.998582124710083,0.0010000000474974513,0.005792570766061544,0.9988197088241577,0.004944983404129744
14,0.9984796047210693,0.0010000000474974513,0.006029500626027584,0.9989197254180908,0.004642068408429623
